Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Replaced, 0006E8B3,123, 7B, 0006E900,123, 7B
Matched, 0006E92E,69,45, 0006E97B,69,45
Replaced, 0006E973,67,43, 0006E9C0,67,43
Matched, 0006E9B6,49,31, 0006EA03,49,31
Replaced, 0006E9E7,2,2, 0006EA34,2,2
Matched, 0006E9E9,147,93, 0006EA36,147,93
Replaced, 0006EA7C,97,61, 0006EAC9,97,61
Matched, 0006EADD,80,50, 0006EB2A,80,50
Replaced, 0006EB2D,122, 7A, 0006EB7A,122, 7A
Matched, 0006EBA7,240, F0, 0006EBF4,240, F0
Replaced, 0006EC97,95, 5F, 0006ECE4,95, 5F
Matched, 0006ECF6,46, 2E, 0006ED43,46, 2E
Replaced, 0006ED24,105,69, 0006ED71,105,69
Matched, 0006ED8D,33,21, 0006EDDA,33,21
Replaced, 0006EDAE,454, 01C6, 0006EDFB,454, 01C6
Matched, 0006EF74,112,70, 0006EFC1,112,70
Replaced, 0006EFE4,55,37, 0006F031,55,37
Matched, 0006F01B,54,36, 0006F068,54,36
Replaced, 0006F051,28, 1C, 0006F09E,28, 1C
Matched, 0006F06D,107, 6B, 0006F0BA,107, 6B
Replaced, 0006F0D8,66,42, 0006F125,66,42
Matched, 0006F11A,193, C1, 0006F167,193, C1
Replaced, 0006F1DB,110, 6E, 0006F228,110, 6E
Matched, 0006F249,215, D7, 0006F296,215, D7
Replaced, 0006F320,55,37, 0006F36D,55,37
Matched, 0006F357,82,52, 0006F3A4,82,52
Replaced, 0006F3A9,89,59, 0006F3F6,89,59
Matched, 0006F402,82,52, 0006F44F,82,52
Replaced, 0006F454,90, 5A, 0006F4A1,90, 5A
Matched, 0006F4AE,81,51, 0006F4FB,81,51
Replaced, 0006F4FF,175, AF, 0006F54C,175, AF
Matched, 0006F5AE,109, 6D, 0006F5FB,109, 6D
Replaced, 0006F61B,79, 4F, 0006F668,79, 4F
Matched, 0006F66A,316, 013C, 0006F6B7,316, 013C
Replaced, 0006F7A6,95, 5F, 0006F7F3,95, 5F
Matched, 0006F805,253, FD, 0006F852,253, FD
Replaced, 0006F902,62, 3E, 0006F94F,62, 3E
Matched, 0006F940,75, 4B, 0006F98D,75, 4B
Replaced, 0006F98B,89,59, 0006F9D8,89,59
Matched, 0006F9E4,54,36, 0006FA31,54,36
Replaced, 0006FA1A,33,21, 0006FA67,33,21
Matched, 0006FA3B,39,27, 0006FA88,39,27
Replaced, 0006FA62,73,49, 0006FAAF,73,49
Matched, 0006FAAB,87,57, 0006FAF8,87,57
Replaced, 0006FB02,80,50, 0006FB4F,80,50
Matched, 0006FB52,378, 017A, 0006FB9F,378, 017A
Replaced, 0006FCCC,33,21, 0006FD19,33,21
Matched, 0006FCED,45, 2D, 0006FD3A,45, 2D
Replaced, 0006FD1A,104,68, 0006FD67,104,68
